Jogador,Assistências
Kevin De Bruyne,20
Trent Alexander-Arnold,13
Andrew Robertson,12
Mohamed Salah,10
David Silva,10
Son Heung-Min,10
Riyad Mahrez,9
Adama Traoré,9
Roberto Firmino,8
Harvey Barnes,8
Willian,7
Bruno Fernandes,7
Emiliano Buendía,7
Gabriel Jesus,7
Lucas Digne,7
Sadio Mané,7
Marcus Rashford,7
Bernardo Silva,7
César Azpilicueta,6
Jack Grealish,6
